Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
2i_3_74	ERS1032073	2i	single_cell	2i_3_74	Teichmann_2i_3_74_	ERX1283500	ERR1211249
2i_3_75	ERS1032074	2i	single_cell	2i_3_75	Teichmann_2i_3_75_	ERX1283501	ERR1211250
2i_3_76	ERS1032075	2i	single_cell	2i_3_76	Teichmann_2i_3_76_	ERX1283502	ERR1211251
2i_3_77	ERS1032076	2i	single_cell	2i_3_77	Teichmann_2i_3_77_	ERX1283503	ERR1211252
2i_3_78	ERS1032077	2i	single_cell	2i_3_78	Teichmann_2i_3_78_	ERX1283504	ERR1211253
2i_3_79	ERS1032078	2i	single_cell	2i_3_79	Teichmann_2i_3_79_	ERX1283505	ERR1211254
2i_3_80	ERS1032079	2i	single_cell	2i_3_80	Teichmann_2i_3_80_	ERX1283506	ERR1211255
2i_3_81	ERS1032080	2i	single_cell	2i_3_81	Teichmann_2i_3_81_	ERX1283507	ERR1211256
2i_3_82	ERS1032081	2i	single_cell	2i_3_82	Teichmann_2i_3_82_	ERX1283508	ERR1211257
2i_3_83	ERS1032082	2i	single_cell	2i_3_83	Teichmann_2i_3_83_	ERX1283509	ERR1211258
2i_3_84	ERS1032083	2i	single_cell	2i_3_84	Teichmann_2i_3_84_	ERX1283510	ERR1211259
2i_3_85	ERS1032084	2i	single_cell	2i_3_85	Teichmann_2i_3_85_	ERX1283511	ERR1211260
2i_3_86	ERS1032085	2i	single_cell	2i_3_86	Teichmann_2i_3_86_	ERX1283512	ERR1211261
2i_3_87	ERS1032086	2i	single_cell	2i_3_87	Teichmann_2i_3_87_	ERX1283513	ERR1211262
2i_3_88	ERS1032087	2i	single_cell	2i_3_88	Teichmann_2i_3_88_	ERX1283514	ERR1211263
2i_3_89	ERS1032088	2i	single_cell	2i_3_89	Teichmann_2i_3_89_	ERX1283515	ERR1211264
2i_3_90	ERS1032089	2i	single_cell	2i_3_90	Teichmann_2i_3_90_	ERX1283516	ERR1211265
2i_3_91	ERS1032090	2i	single_cell	2i_3_91	Teichmann_2i_3_91_	ERX1283517	ERR1211266
2i_3_92	ERS1032091	2i	single_cell	2i_3_92	Teichmann_2i_3_92_	ERX1283518	ERR1211267
2i_3_93	ERS1032092	2i	single_cell	2i_3_93	Teichmann_2i_3_93_	ERX1283519	ERR1211268
2i_3_94	ERS1032093	2i	single_cell	2i_3_94	Teichmann_2i_3_94_	ERX1283520	ERR1211269
2i_3_95	ERS1032094	2i	single_cell	2i_3_95	Teichmann_2i_3_95_	ERX1283521	ERR1211270
2i_3_96	ERS1032095	2i	single_cell	2i_3_96	Teichmann_2i_3_96_	ERX1283522	ERR1211271
a2i_3_1	ERS1032096	a2i	single_cell	a2i_3_1	Teichmann_a2i_3_1_	ERX1283523	ERR1211272
a2i_3_2	ERS1032097	a2i	single_cell	a2i_3_2	Teichmann_a2i_3_2_	ERX1283524	ERR1211273
a2i_3_3	ERS1032098	a2i	single_cell	a2i_3_3	Teichmann_a2i_3_3_	ERX1283525	ERR1211274
a2i_3_4	ERS1032099	a2i	single_cell	a2i_3_4	Teichmann_a2i_3_4_	ERX1283526	ERR1211275
a2i_3_5	ERS1032100	a2i	single_cell	a2i_3_5	Teichmann_a2i_3_5_	ERX1283527	ERR1211276
a2i_3_6	ERS1032101	a2i	single_cell	a2i_3_6	Teichmann_a2i_3_6_	ERX1283528	ERR1211277
a2i_3_7	ERS1032102	a2i	single_cell	a2i_3_7	Teichmann_a2i_3_7_	ERX1283529	ERR1211278
a2i_3_8	ERS1032103	a2i	single_cell	a2i_3_8	Teichmann_a2i_3_8_	ERX1283530	ERR1211279
a2i_3_9	ERS1032104	a2i	single_cell	a2i_3_9	Teichmann_a2i_3_9_	ERX1283531	ERR1211280
a2i_3_10	ERS1032105	a2i	single_cell	a2i_3_10	Teichmann_a2i_3_10_	ERX1283532	ERR1211281
a2i_3_11	ERS1032106	a2i	single_cell	a2i_3_11	Teichmann_a2i_3_11_	ERX1283533	ERR1211282
a2i_3_12	ERS1032107	a2i	single_cell	a2i_3_12	Teichmann_a2i_3_12_	ERX1283534	ERR1211283
a2i_3_13	ERS1032108	a2i	single_cell	a2i_3_13	Teichmann_a2i_3_13_	ERX1283535	ERR1211284
a2i_3_14	ERS1032109	a2i	single_cell	a2i_3_14	Teichmann_a2i_3_14_	ERX1283536	ERR1211285
